-0.100	167	107
-0.100	167	155
7.800	167	167
0.100	167	932
0.100	167	3236
2.100	168	168
-0.100	169	106
-0.100	169	154
-0.100	169	166
4.500	169	169
4.200	170	170
7.600	171	171
0.100	171	936
0.100	171	3240
0.100	172	163
4.700	172	172
0.100	172	928
0.100	172	3232
-0.100	173	110
-0.100	173	158
7.800	173	173
0.100	173	929
0.100	173	3233
7.600	174	174
0.100	174	930
0.100	174	3234
11.700	175	175
0.100	175	931
0.100	175	940
0.100	175	3235
0.100	175	3244
0.100	176	131
0.100	176	140
2.500	176	176
0.100	176	896
0.100	176	3200
-0.100	177	114
0.100	177	141
4.800	177	177
0.100	177	897
0.100	177	3201
0.100	178	142
4.700	178	178
0.100	178	898
0.100	178	3202
0.100	179	143
8.000	179	179
0.100	179	188
0.100	179	899
0.100	179	944
0.100	179	3203
0.100	179	3248
-0.100	180	120
0.100	180	135
4.800	180	180
0.100	180	900
0.100	180	3204
-0.100	181	118
-0.100	181	121
7.800	181	181
0.100	181	901
0.100	181	3205
-0.100	182	122
7.800	182	182
-0.100	182	185
0.100	182	902
0.100	182	3206
-0.100	183	123
11.800	183	183
0.100	183	903
0.100	183	948
0.100	183	3207
0.100	183	3252
0.100	184	139
4.700	184	184
0.100	184	904
0.100	184	3208
-0.100	185	122
-0.100	185	182
7.800	185	185
0.100	185	905
0.100	185	3209
7.600	186	186
0.100	186	906
0.100	186	3210
11.700	187	187
0.100	187	907
0.100	187	952
0.100	187	3211
0.100	187	3256
0.100	188	143
0.100	188	179
8.000	188	188
0.100	188	908
0.100	188	944
0.100	188	3212
0.100	188	3248
-0.100	189	126
11.800	189	189
0.100	189	909
0.100	189	945
0.100	189	3213
0.100	189	3249
11.700	190	190
0.100	190	910
0.100	190	946
0.100	190	3214
0.100	190	3250
16.500	191	191
0.100	191	911
0.100	191	947
0.100	191	956
0.100	191	3215
0.100	191	3251
0.100	191	3260
0.100	192	3
0.100	192	12
0.100	192	48
1.000	192	192
0.100	192	768
0.100	192	3072
0.100	193	13
0.100	193	49
2.500	193	193
0.100	193	769
0.100	193	3073
0.100	194	14
0.100	194	50
2.500	194	194
0.100	194	770
0.100	194	3074
0.100	195	15
0.100	195	51
5.000	195	195
0.100	195	204
0.100	195	240
0.100	195	771
0.100	195	960
0.100	195	3075
0.100	195	3264
0.100	196	7
0.100	196	52
2.500	196	196
0.100	196	772
0.100	196	3076
0.100	197	53
4.700	197	197
0.100	197	773
0.100	197	3077
0.100	198	54
4.800	198	198
-0.100	198	201
0.100	198	774
0.100	198	3078
0.100	199	55
8.000	199	199
0.100	199	244
0.100	199	775
0.100	199	964
0.100	199	3079
0.100	199	3268
